sno,header,title,titleUrl,subtitles,time,products,activityControls,description
0,YouTube,"Watched EMNLP 2022 Tutorial - ""Modular and Parameter-Efficient Fine-Tuning for NLP Models""",https://www.youtube.com/watch?v=KoOlcX3XLd4,"[{'name': 'Jonas Pfeiffer', 'url': 'https://www.youtube.com/channel/UCMo6eHqdecQP7I7-OrQ93uQ'}]",2023-05-15T07:49:26.134Z,['YouTube'],['YouTube watch history'],
1,YouTube,Watched Pakistani🇵🇰 Girl Praise India🇮🇳 #shorts #catalystrecords #pakistanireaction #youtubeshorts #reaction,https://www.youtube.com/watch?v=GNKSJHnFmno,"[{'name': 'Catalyst Records', 'url': 'https://www.youtube.com/channel/UCYOUXGXb-RTTx6DoXpXXYbg'}]",2023-05-15T07:48:14.973Z,['YouTube'],['YouTube watch history'],
2,YouTube,Watched Comparing log(7) and (1+log(5))/2,https://www.youtube.com/watch?v=WUrPzA-LVys,"[{'name': 'SyberMath', 'url': 'https://www.youtube.com/channel/UCW4czokv40JYR-w7u6aXZ3g'}]",2023-05-15T05:24:42.202Z,['YouTube'],['YouTube watch history'],
3,YouTube,Watched AI and the future of humanity | Yuval Noah Harari at the Frontiers Forum,https://www.youtube.com/watch?v=LWiM-LuRe6w,"[{'name': 'Yuval Noah Harari ', 'url': 'https://www.youtube.com/channel/UC2m77KGMIKZCD0Kw35-4shQ'}]",2023-05-15T05:21:18.391Z,['YouTube'],['YouTube watch history'],
4,YouTube,Watched How to Find Out Rank of Matrix,https://www.youtube.com/watch?v=MxGJeli6qOc,"[{'name': 'HowTo', 'url': 'https://www.youtube.com/channel/UCBPbqJacQ6B305Sb_tbuDWQ'}]",2023-05-15T05:17:45.597Z,['YouTube'],['YouTube watch history'],
5,YouTube,Watched How to Find the Rank of a Matrix (with echelon form) | Linear Algebra,https://www.youtube.com/watch?v=cSj82GG6MX4,"[{'name': 'Wrath of Math', 'url': 'https://www.youtube.com/channel/UCyEKvaxi8mt9FMc62MHcliw'}]",2023-05-15T05:17:43.306Z,['YouTube'],['YouTube watch history'],
6,YouTube,Watched Low-rank Adaption of Large Language Models: Explaining the Key Concepts Behind LoRA,https://www.youtube.com/watch?v=dA-NhCtrrVE,"[{'name': 'Chris Alexiuk', 'url': 'https://www.youtube.com/channel/UCIpu9V-YxB3nRVEpdgoCCSA'}]",2023-05-15T05:04:30.325Z,['YouTube'],['YouTube watch history'],
7,YouTube,Watched वॉयजर पहुंचा दूसरी दुनिया में? क्या देखा वहां पर || Voyager reached to Another world,https://www.youtube.com/watch?v=LW9PLAexyKo,"[{'name': 'Paramedical Education', 'url': 'https://www.youtube.com/channel/UCrUm8kyc5xwJkeERYp7NImg'}]",2023-05-15T05:00:32.604Z,['YouTube'],['YouTube watch history'],
8,YouTube,"Watched Breaking News: Jammu -Kashmir में आतंकियों के ठिकाने का भंडाफोड़, गुफा में बना रखा था ठिकाना",https://www.youtube.com/watch?v=c98d979a5J0,"[{'name': 'TIMES NOW Navbharat', 'url': 'https://www.youtube.com/channel/UCMk9Tdc-d1BIcAFaSppiVkw'}]",2023-05-15T04:58:02.097Z,['YouTube'],['YouTube watch history'],
9,YouTube,"Watched ""They'Re Celebrating Like They'Ve Won A World War,"" Assam CM HB Sarma Retorts | Latest Updates",https://www.youtube.com/watch?v=_rY0viKRpVc,"[{'name': 'TIMES NOW', 'url': 'https://www.youtube.com/channel/UC6RJ7-PaXg6TIH2BzZfTV7w'}]",2023-05-15T04:01:20.760Z,['YouTube'],['YouTube watch history'],
10,YouTube,"Watched Nice Math Olympiad Trigonometric Exponential Equation, Can You Solve?256^sin^2x +256^cos^2x =68",https://www.youtube.com/watch?v=nLaJuUjfGIQ,"[{'name': 'Math Talker', 'url': 'https://www.youtube.com/channel/UCPsT261WkUSqaPusRmfuEOQ'}]",2023-05-15T02:42:26.291Z,['YouTube'],['YouTube watch history'],
11,YouTube,Watched A Radical Equation | xsqrt(x)=x+sqrt(x),https://www.youtube.com/watch?v=siRtCe8ubUw,"[{'name': 'SyberMath', 'url': 'https://www.youtube.com/channel/UCW4czokv40JYR-w7u6aXZ3g'}]",2023-05-15T02:38:39.381Z,['YouTube'],['YouTube watch history'],
